node,text,kind,Line,Column,Parental
using namespace std,using namespace std,CursorKind.USING_DIRECTIVE,3,17,CursorKind.TRANSLATION_UNIT(stim15.cpp)
std,std,CursorKind.NAMESPACE_REF,3,17,CursorKind.TRANSLATION_UNIT(stim15.cpp)->CursorKind.USING_DIRECTIVE()
afunc,"std::list<int> afunc(const std::list<int>& numList){
	std::list<int> edited;
  for (int num : numList){
  if(num == 0){
  edited.push_front(num);
  }
  } for (int num : numList){
  if (num != 0){
  edited.push_back(num);
  }
  } return edited;
  }",CursorKind.FUNCTION_DECL,4,16,CursorKind.TRANSLATION_UNIT(stim15.cpp)
std,std,CursorKind.NAMESPACE_REF,4,1,CursorKind.TRANSLATION_UNIT(stim15.cpp)->CursorKind.FUNCTION_DECL(afunc)
list,list,CursorKind.TEMPLATE_REF,4,6,CursorKind.TRANSLATION_UNIT(stim15.cpp)->CursorKind.FUNCTION_DECL(afunc)
numList,const std::list<int>& numList,CursorKind.PARM_DECL,4,44,CursorKind.TRANSLATION_UNIT(stim15.cpp)->CursorKind.FUNCTION_DECL(afunc)
std,std,CursorKind.NAMESPACE_REF,4,28,CursorKind.TRANSLATION_UNIT(stim15.cpp)->CursorKind.FUNCTION_DECL(afunc)->CursorKind.PARM_DECL(numList)
list,list,CursorKind.TEMPLATE_REF,4,33,CursorKind.TRANSLATION_UNIT(stim15.cpp)->CursorKind.FUNCTION_DECL(afunc)->CursorKind.PARM_DECL(numList)
"{
	std::list<int> edited;
  for (int num : numList){
  if(num == 0){
  edited.push_front(num);
  }
  } for (int num : numList){
  if (num != 0){
  edited.push_back(num);
  }
  } return edited;
  }","{
	std::list<int> edited;
  for (int num : numList){
  if(num == 0){
  edited.push_front(num);
  }
  } for (int num : numList){
  if (num != 0){
  edited.push_back(num);
  }
  } return edited;
  }",CursorKind.COMPOUND_STMT,4,52,CursorKind.TRANSLATION_UNIT(stim15.cpp)->CursorKind.FUNCTION_DECL(afunc)
std::list<int> edited;,std::list<int> edited;,CursorKind.DECL_STMT,5,2,CursorKind.TRANSLATION_UNIT(stim15.cpp)->CursorKind.FUNCTION_DECL(afunc)->CursorKind.COMPOUND_STMT()
edited,std::list<int> edited,CursorKind.VAR_DECL,5,17,CursorKind.TRANSLATION_UNIT(stim15.cpp)->CursorKind.FUNCTION_DECL(afunc)->CursorKind.COMPOUND_STMT()->CursorKind.DECL_STMT()
std,std,CursorKind.NAMESPACE_REF,5,2,CursorKind.TRANSLATION_UNIT(stim15.cpp)->CursorKind.FUNCTION_DECL(afunc)->CursorKind.COMPOUND_STMT()->CursorKind.DECL_STMT()->CursorKind.VAR_DECL(edited)
list,list,CursorKind.TEMPLATE_REF,5,7,CursorKind.TRANSLATION_UNIT(stim15.cpp)->CursorKind.FUNCTION_DECL(afunc)->CursorKind.COMPOUND_STMT()->CursorKind.DECL_STMT()->CursorKind.VAR_DECL(edited)
list,edited,CursorKind.CALL_EXPR,5,17,CursorKind.TRANSLATION_UNIT(stim15.cpp)->CursorKind.FUNCTION_DECL(afunc)->CursorKind.COMPOUND_STMT()->CursorKind.DECL_STMT()->CursorKind.VAR_DECL(edited)
"for (int num : numList){
  if(num == 0){
  edited.push_front(num);
  }
  }",for,CursorKind.CXX_FOR_RANGE_STMT,6,3,CursorKind.TRANSLATION_UNIT(stim15.cpp)->CursorKind.FUNCTION_DECL(afunc)->CursorKind.COMPOUND_STMT()
num,int num :,CursorKind.VAR_DECL,6,12,CursorKind.TRANSLATION_UNIT(stim15.cpp)->CursorKind.FUNCTION_DECL(afunc)->CursorKind.COMPOUND_STMT()->CursorKind.CXX_FOR_RANGE_STMT()
operator*,:,CursorKind.UNEXPOSED_EXPR,6,16,CursorKind.TRANSLATION_UNIT(stim15.cpp)->CursorKind.FUNCTION_DECL(afunc)->CursorKind.COMPOUND_STMT()->CursorKind.CXX_FOR_RANGE_STMT()->CursorKind.VAR_DECL(num)
operator*,:,CursorKind.CALL_EXPR,6,16,CursorKind.TRANSLATION_UNIT(stim15.cpp)->CursorKind.FUNCTION_DECL(afunc)->CursorKind.COMPOUND_STMT()->CursorKind.CXX_FOR_RANGE_STMT()->CursorKind.VAR_DECL(num)->CursorKind.UNEXPOSED_EXPR(operator*)
__begin1,:,CursorKind.UNEXPOSED_EXPR,6,16,CursorKind.TRANSLATION_UNIT(stim15.cpp)->CursorKind.FUNCTION_DECL(afunc)->CursorKind.COMPOUND_STMT()->CursorKind.CXX_FOR_RANGE_STMT()->CursorKind.VAR_DECL(num)->CursorKind.UNEXPOSED_EXPR(operator*)->CursorKind.CALL_EXPR(operator*)
__begin1,:,CursorKind.DECL_REF_EXPR,6,16,CursorKind.TRANSLATION_UNIT(stim15.cpp)->CursorKind.FUNCTION_DECL(afunc)->CursorKind.COMPOUND_STMT()->CursorKind.CXX_FOR_RANGE_STMT()->CursorKind.VAR_DECL(num)->CursorKind.UNEXPOSED_EXPR(operator*)->CursorKind.CALL_EXPR(operator*)->CursorKind.UNEXPOSED_EXPR(__begin1)
operator*,:,CursorKind.UNEXPOSED_EXPR,6,16,CursorKind.TRANSLATION_UNIT(stim15.cpp)->CursorKind.FUNCTION_DECL(afunc)->CursorKind.COMPOUND_STMT()->CursorKind.CXX_FOR_RANGE_STMT()->CursorKind.VAR_DECL(num)->CursorKind.UNEXPOSED_EXPR(operator*)->CursorKind.CALL_EXPR(operator*)
